loc,v(g),ev(g),iv(g),n,l,d,i,t,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,defects,risk_score,risk_level
129.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.35173579356602,Low
76.0,11.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.25798960741927,Low
83.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,25.09565611455925,Low
125.0,15.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,29.089729523985476,Low
129.0,16.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,29.472088750955017,Low
128.0,16.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,29.446179152969325,Low
129.0,16.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,29.472088750955017,Low
130.0,17.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,29.759432171515638,Low
92.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,19.76706715559308,Low
92.0,22.0,15.0,11.0,403.0,0.03,31.88,83.81,4731.27,4,9,0,26.0,73.0,1,51.24930875031934,Medium
70.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,29.96695357103492,Low
90.0,23.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,35.036744776591924,Medium
68.0,20.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,32.833407862670505,Low
89.0,21.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,34.170009649340855,Medium
97.0,23.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,35.28539749669831,Medium
83.0,21.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,33.9385195051011,Medium
27.0,5.0,3.0,3.0,47.0,0.09,11.7,18.17,138.19,0,3,0,13.0,10.0,1,28.896877314062834,Low
48.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.016086192396138,Low
351.0,30.0,25.0,18.0,676.0,0.02,48.3,90.41,11716.98,107,11,2,23.0,65.0,1,60.455664077758854,Medium
48.0,11.0,1.0,11.0,142.0,0.05,20.38,38.48,888.25,1,1,1,20.0,26.0,1,33.830127027053585,Medium
80.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,25.95912930762225,Low
4.0,1.0,1.0,1.0,7.0,0.4,2.5,7.86,2.73,0,0,0,5.0,2.0,1,8.808058949313367,Low
4.0,1.0,1.0,1.0,7.0,0.4,2.5,7.86,2.73,0,0,0,5.0,2.0,1,8.808058949313367,Low
6.0,2.0,1.0,1.0,22.0,0.15,6.6,13.33,32.27,0,0,0,11.0,5.0,1,15.360741338938935,Low
4.0,1.0,1.0,1.0,7.0,0.4,2.5,7.86,2.73,0,0,0,5.0,2.0,1,8.808058949313367,Low
6.0,1.0,1.0,1.0,31.0,0.16,6.3,17.64,38.9,0,0,0,7.0,5.0,1,13.371403922744687,Low
16.0,4.0,3.0,2.0,32.0,0.07,13.93,10.25,110.42,0,3,0,15.0,7.0,1,26.464652979404946,Low
4.0,1.0,1.0,1.0,10.0,0.33,3.0,11.07,5.54,0,0,0,6.0,4.0,1,9.98699152772462,Low
87.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.028393290783637,Low
77.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,26.36991041058261,Low
37.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,22.49939047936041,Low
27.0,6.0,4.0,4.0,72.0,0.06,17.0,20.98,336.89,0,4,0,17.0,14.0,1,32.214891496464325,Low
32.0,6.0,6.0,3.0,107.0,0.03,33.0,16.76,1014.17,0,5,0,22.0,14.0,1,36.395571069089314,Medium
7.0,1.0,1.0,1.0,31.0,0.16,6.3,17.64,38.9,0,0,0,7.0,5.0,1,13.81943863521541,Low
26.0,4.0,3.0,2.0,50.0,0.1,10.0,23.5,130.57,0,5,3,13.0,13.0,1,27.81210594781955,Low
13.0,3.0,3.0,2.0,35.0,0.12,8.18,19.35,71.97,0,2,0,12.0,11.0,1,23.765666333768028,Low
23.0,4.0,3.0,2.0,53.0,0.07,14.54,18.06,212.08,0,3,2,18.0,13.0,1,28.56133713200127,Low
74.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.342190050392034,Low
34.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,11.459418337685742,Low
28.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,12.145264126212608,Low
4.0,1.0,1.0,1.0,7.0,0.4,2.5,7.86,2.73,0,0,0,5.0,2.0,1,8.808058949313367,Low
4.0,1.0,1.0,1.0,7.0,0.4,2.5,7.86,2.73,0,0,0,5.0,2.0,1,8.808058949313367,Low
29.0,4.0,4.0,3.0,63.0,0.08,11.79,25.97,200.39,4,3,0,15.0,14.0,1,29.774447009479488,Low
24.0,5.0,1.0,5.0,58.0,0.13,7.67,32.7,106.77,0,1,0,8.0,12.0,1,24.355936179144617,Low
23.0,5.0,1.0,2.0,57.0,0.14,6.91,40.09,106.24,0,0,0,13.0,16.0,1,24.301965682076766,Low
32.0,6.0,1.0,1.0,54.0,0.19,5.31,43.22,67.64,0,3,3,6.0,13.0,1,25.047550265674513,Low
87.0,13.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,28.88849084967431,Low
24.0,6.0,6.0,2.0,73.0,0.04,24.89,13.62,468.74,0,4,0,16.0,9.0,1,33.97674709057428,Medium
21.0,3.0,1.0,1.0,40.0,0.05,18.2,9.16,168.65,0,3,0,13.0,5.0,1,23.58937750364562,Low
23.0,3.0,1.0,2.0,47.0,0.05,18.21,11.51,212.09,0,4,0,15.0,7.0,1,24.29791175613994,Low
97.0,27.0,25.0,6.0,364.0,0.02,48.38,43.7,5681.04,3,7,0,24.0,32.0,1,54.70529435549959,Medium
52.0,7.0,1.0,5.0,160.0,0.03,29.57,28.6,1389.31,0,4,0,18.0,21.0,1,33.12645418350928,Medium
43.0,15.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.99920738905144,Low
36.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,22.504964652425517,Low
126.0,10.0,6.0,5.0,263.0,0.02,58.95,23.58,4552.25,21,30,1,20.0,19.0,1,45.27964632417969,Medium
45.0,11.0,3.0,3.0,105.0,0.04,23.33,24.27,733.95,7,6,1,24.0,18.0,1,36.67674502940771,Medium
11.0,2.0,1.0,2.0,19.0,0.16,6.13,10.73,22.37,0,0,0,7.0,4.0,1,16.694861402327316,Low
13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,6.529066139356278,Low
4.0,1.0,1.0,1.0,7.0,0.4,2.5,7.86,2.73,0,0,0,5.0,2.0,1,8.808058949313367,Low
35.0,8.0,8.0,2.0,69.0,0.04,24.28,13.66,447.4,9,5,1,19.0,9.0,1,37.40906714933534,Medium
23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,8.337548305849811,Low
24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,8.474517375204105,Low
26.0,5.0,1.0,2.0,59.0,0.11,8.93,34.44,152.4,0,0,0,17.0,20.0,1,25.7551806943252,Low
13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,6.529066139356278,Low
33.0,5.0,1.0,2.0,101.0,0.05,19.86,27.24,597.14,0,6,0,19.0,22.0,1,29.118370319990095,Low
21.0,3.0,1.0,3.0,61.0,0.08,12.38,20.15,171.42,0,3,0,9.0,8.0,1,22.97790772606847,Low
11.0,1.0,1.0,1.0,36.0,0.14,7.0,19.58,53.3,0,2,1,7.0,7.0,1,15.89803406974115,Low
15.0,2.0,1.0,2.0,24.0,0.17,5.79,16.59,30.86,0,2,0,9.0,7.0,1,18.176066771480755,Low
38.0,29.0,17.0,14.0,247.0,0.03,33.8,36.86,2339.65,2,5,1,13.0,20.0,1,48.4543552091415,Medium
38.0,29.0,17.0,14.0,247.0,0.03,33.8,36.86,2339.65,2,5,1,13.0,20.0,1,48.4543552091415,Medium
187.0,17.0,15.0,7.0,288.0,0.02,50.14,30.36,4240.4,24,79,1,18.0,21.0,1,52.202598061402796,Medium
34.0,4.0,1.0,4.0,85.0,0.1,9.75,42.78,225.92,0,5,0,10.0,20.0,1,26.05417287179941,Low
55.0,4.0,1.0,4.0,130.0,0.13,7.44,99.13,304.76,6,10,0,10.0,41.0,1,27.8294528691654,Low
23.0,3.0,1.0,3.0,96.0,0.11,9.0,51.28,230.75,0,4,1,8.0,20.0,1,23.527309095039218,Low
23.0,3.0,1.0,3.0,96.0,0.11,9.0,51.28,230.75,0,4,0,8.0,20.0,1,23.527309095039218,Low
9.0,2.0,1.0,2.0,24.0,0.18,5.5,17.45,29.33,0,1,0,8.0,8.0,1,16.62435619264899,Low
102.0,21.0,21.0,17.0,371.0,0.03,31.5,71.45,3938.41,13,15,5,21.0,46.0,1,52.136766214972816,Medium
37.0,3.0,3.0,3.0,118.0,0.07,14.17,45.47,507.02,1,4,0,17.0,27.0,1,30.001558638584598,Low
39.0,7.0,5.0,5.0,132.0,0.05,20.83,33.02,795.57,5,6,0,17.0,20.0,1,35.97223421751804,Medium
27.0,3.0,1.0,3.0,54.0,0.11,9.19,28.84,135.25,0,2,0,14.0,16.0,1,23.802141978507063,Low
126.0,9.0,1.0,9.0,366.0,0.03,39.96,52.47,4653.57,13,17,0,19.0,34.0,1,38.71864474927489,Medium
38.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,17.333473915581628,Low
20.0,4.0,1.0,2.0,43.0,0.1,9.78,19.01,100.95,0,2,0,11.0,9.0,1,23.279504391011635,Low
42.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,21.000863128235043,Low
66.0,16.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,30.38530678410322,Low
71.0,5.0,1.0,4.0,279.0,0.05,21.55,77.97,2011.72,0,14,0,16.0,49.0,1,33.0136974283425,Medium
28.0,8.0,7.0,1.0,150.0,0.04,25.26,31.38,1112.72,0,3,0,20.0,19.0,1,37.2760348004035,Medium
36.0,6.0,6.0,3.0,74.0,0.04,22.55,15.61,440.72,0,2,0,16.0,11.0,1,35.241315512590695,Medium
49.0,3.0,1.0,2.0,35.0,0.12,8.57,15.95,65.11,11,21,0,8.0,7.0,1,24.452672535875646,Low
6.0,1.0,1.0,1.0,11.0,0.33,3.0,12.18,6.09,0,1,0,6.0,4.0,1,11.115948837507677,Low
7.0,2.0,1.0,1.0,14.0,0.28,3.6,13.45,9.69,0,0,0,6.0,5.0,1,14.145765132735724,Low
92.0,19.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,32.54169297154989,Low
20.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,17.065413620489778,Low
27.0,3.0,1.0,2.0,151.0,0.04,27.76,27.43,1174.92,0,3,0,16.0,17.0,1,27.321200239493958,Low
55.0,6.0,4.0,4.0,158.0,0.03,36.14,22.6,1640.18,12,3,1,22.0,14.0,1,36.93966775971001,Medium
8.0,1.0,1.0,1.0,15.0,0.34,2.92,17.79,8.41,1,0,0,5.0,6.0,1,12.377485532721046,Low
26.0,3.0,1.0,2.0,73.0,0.06,16.67,21.06,324.94,4,3,0,16.0,12.0,1,25.11647726021527,Low
55.0,4.0,3.0,1.0,188.0,0.03,33.41,28.38,1760.33,3,7,0,16.0,17.0,1,34.39961086133378,Medium
69.0,2.0,1.0,2.0,586.0,0.12,8.39,473.41,1853.2,2,3,0,6.0,104.0,1,27.914604380571863,Low
10.0,2.0,1.0,2.0,18.0,0.4,2.5,24.91,8.65,0,0,0,5.0,6.0,1,14.531371602559625,Low
52.0,3.0,1.0,3.0,128.0,0.12,8.34,87.9,339.76,11,14,4,12.0,41.0,1,26.95891413808359,Low
15.0,2.0,1.0,2.0,47.0,0.14,7.38,27.96,84.69,0,3,0,8.0,13.0,1,19.679950399481612,Low
139.0,12.0,1.0,6.0,485.0,0.02,47.5,60.06,7528.97,29,8,3,19.0,40.0,1,41.034381416959484,Medium
25.0,3.0,1.0,2.0,55.0,0.11,9.41,25.26,124.26,0,4,0,9.0,11.0,1,23.12194884969966,Low
14.0,1.0,1.0,1.0,74.0,0.11,9.38,37.1,181.16,0,4,0,10.0,16.0,1,18.596364229295943,Low
8.0,1.0,1.0,1.0,31.0,0.3,3.33,34.41,21.24,0,0,0,4.0,9.0,1,13.221322090538482,Low
406.0,33.0,1.0,33.0,1057.0,0.03,33.19,189.65,11602.99,20,29,0,8.0,54.0,1,48.281315969709304,Medium
92.0,15.0,5.0,12.0,212.0,0.04,27.87,43.37,1870.93,21,10,0,22.0,30.0,1,43.46335542203044,Medium
69.0,9.0,1.0,6.0,208.0,0.03,34.38,32.2,2114.35,7,9,1,20.0,21.0,1,35.56530114306249,Medium
87.0,1.0,1.0,1.0,155.0,0.45,2.23,429.87,118.96,15,32,0,4.0,69.0,1,22.70715219105108,Low
58.0,1.0,1.0,1.0,118.0,0.43,2.32,292.71,87.53,5,22,0,4.0,50.0,1,21.000076943491504,Low
64.0,1.0,1.0,1.0,137.0,0.49,2.02,413.59,94.71,0,28,0,4.0,66.0,1,21.404844361599864,Low
61.0,2.0,1.0,2.0,118.0,0.25,4.07,168.31,155.0,9,21,0,7.0,49.0,1,24.396165845102953,Low
33.0,7.0,5.0,4.0,102.0,0.07,14.0,37.95,413.28,0,4,0,14.0,23.0,1,34.37666231706009,Medium
8.0,2.0,1.0,2.0,25.0,0.16,6.19,16.52,35.13,0,0,0,9.0,8.0,1,16.60500346334221,Low
48.0,9.0,8.0,4.0,147.0,0.02,41.65,18.91,1822.2,0,8,0,24.0,17.0,1,41.50571859432606,Medium
87.0,10.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.784614881876756,Low
26.0,3.0,1.0,3.0,63.0,0.11,9.43,31.03,153.25,13,3,0,11.0,14.0,1,23.57672768270835,Low
7.0,3.0,1.0,3.0,46.0,0.14,7.2,26.64,76.73,0,1,0,8.0,10.0,1,18.25136703031704,Low
11.0,1.0,1.0,1.0,17.0,0.2,4.9,12.44,16.59,0,3,1,7.0,5.0,1,14.47465349067771,Low
31.0,3.0,1.0,3.0,88.0,0.11,8.94,50.5,224.12,0,6,0,11.0,24.0,1,24.724061732453166,Low
129.0,16.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,26.93922623064579,Low
20.0,11.0,1.0,2.0,128.0,0.05,18.24,37.6,694.91,0,1,0,16.0,25.0,1,30.583468210439957,Low
20.0,7.0,7.0,2.0,103.0,0.05,19.46,24.27,510.6,0,0,0,11.0,13.0,1,34.31292041452216,Medium
12.0,4.0,4.0,3.0,46.0,0.12,8.31,27.15,104.24,0,2,0,14.0,16.0,1,26.097240985845975,Low
63.0,9.0,5.0,2.0,106.0,0.04,24.57,21.17,710.02,22,14,9,16.0,14.0,1,38.609171506028986,Medium
18.0,2.0,1.0,1.0,31.0,0.12,8.4,16.92,66.33,1,2,0,14.0,10.0,1,20.289220011003,Low
27.0,10.0,10.0,5.0,93.0,0.06,15.79,30.92,428.02,0,4,0,17.0,21.0,1,38.17420868889747,Medium
17.0,2.0,1.0,1.0,31.0,0.12,8.4,16.92,66.33,1,1,0,14.0,10.0,1,20.107809546693424,Low
17.0,2.0,1.0,1.0,31.0,0.12,8.4,16.92,66.33,1,1,0,14.0,10.0,1,20.107809546693424,Low
35.0,10.0,9.0,7.0,90.0,0.04,24.5,16.84,561.66,0,5,0,14.0,10.0,1,38.970615718511674,Medium
18.0,4.0,4.0,3.0,52.0,0.04,23.75,10.41,326.24,0,1,0,19.0,8.0,1,29.691806157889683,Low
69.0,22.0,21.0,6.0,185.0,0.05,19.81,53.73,1171.96,0,7,7,19.0,35.0,1,49.183229551430266,Medium
12.0,3.0,3.0,1.0,40.0,0.07,15.0,12.23,152.83,0,1,0,16.0,8.0,1,24.94226212795681,Low
12.0,2.0,1.0,1.0,16.0,0.21,4.8,12.33,15.79,0,3,0,8.0,5.0,1,16.542542971979838,Low
26.0,5.0,5.0,1.0,64.0,0.06,15.79,20.09,278.06,0,5,0,17.0,14.0,1,31.981984022351305,Low
73.0,15.0,14.0,15.0,252.0,0.04,23.5,64.09,1966.53,4,14,0,21.0,42.0,1,46.772003325446256,Medium
70.0,8.0,1.0,7.0,178.0,0.05,21.95,41.92,1122.42,6,9,0,14.0,22.0,1,33.76112911141366,Medium
53.0,6.0,4.0,5.0,147.0,0.06,16.0,46.35,659.13,4,8,0,12.0,21.0,1,34.78155816320038,Medium
46.0,2.0,1.0,2.0,113.0,0.11,9.11,65.12,300.04,7,13,0,10.0,28.0,1,24.967258397407253,Low
41.0,7.0,1.0,5.0,139.0,0.05,18.79,42.38,831.03,2,4,0,20.0,33.0,1,31.53343907874529,Low
214.0,13.0,1.0,10.0,485.0,0.02,47.92,63.42,8091.8,65,19,0,26.0,51.0,1,43.18429835028861,Medium
167.0,13.0,1.0,13.0,541.0,0.03,29.9,122.22,6070.35,8,32,0,23.0,85.0,1,41.560449623170804,Medium
21.0,3.0,1.0,2.0,49.0,0.07,14.7,15.28,183.47,0,4,0,14.0,10.0,1,23.796906117599274,Low
34.0,9.0,1.0,4.0,107.0,0.04,27.69,18.77,799.7,0,1,0,16.0,13.0,1,31.893576084486753,Low
15.0,2.0,1.0,2.0,27.0,0.22,4.5,22.84,25.7,1,3,0,6.0,8.0,1,17.648037670417878,Low
28.0,5.0,1.0,3.0,67.0,0.08,12.76,26.0,235.39,0,12,0,14.0,17.0,1,26.853092328346463,Low
148.0,14.0,8.0,9.0,475.0,0.03,38.14,80.84,6534.36,10,21,1,27.0,63.0,1,48.6379988817695,Medium
42.0,7.0,1.0,5.0,149.0,0.04,26.96,29.99,1210.82,3,3,1,20.0,23.0,1,32.25477986312835,Low
145.0,19.0,12.0,18.0,392.0,0.06,17.22,151.54,2497.43,1,13,2,16.0,85.0,1,49.444437408958535,Medium
54.0,3.0,1.0,2.0,194.0,0.05,21.16,53.0,1318.62,5,4,0,18.0,37.0,1,29.800521037680213,Low
34.0,9.0,4.0,7.0,352.0,0.03,36.58,56.37,4190.34,0,3,0,20.0,38.0,1,38.41223006359715,Medium
40.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,13.307116564834049,Low
43.0,8.0,5.0,4.0,66.0,0.11,8.82,36.34,157.17,4,9,1,12.0,17.0,1,33.96288944258885,Medium
97.0,33.0,30.0,11.0,462.0,0.01,113.47,21.37,15283.6,31,10,0,23.0,15.0,1,58.130908546812385,Medium
74.0,7.0,1.0,6.0,252.0,0.02,51.75,26.74,3978.85,13,4,0,23.0,22.0,1,36.16243000387898,Medium
28.0,4.0,1.0,2.0,69.0,0.06,16.35,20.71,307.47,0,6,0,17.0,13.0,1,26.423979040904722,Low
32.0,9.0,1.0,1.0,50.0,0.13,7.94,31.48,110.29,0,8,0,15.0,17.0,1,28.19654052234365,Low
81.0,15.0,10.0,14.0,266.0,0.05,20.43,72.72,1686.04,4,2,1,13.0,35.0,1,45.01298371029139,Medium
11.0,2.0,1.0,2.0,17.0,0.29,3.5,16.14,10.98,0,0,0,5.0,5.0,1,15.43341484063776,Low
11.0,2.0,1.0,2.0,17.0,0.29,3.5,16.14,10.98,0,0,0,5.0,5.0,1,15.43341484063776,Low
7.0,1.0,1.0,1.0,13.0,0.29,3.5,12.85,8.74,0,1,0,7.0,4.0,1,11.9541002940348,Low
99.0,20.0,20.0,2.0,136.0,0.05,19.0,36.42,730.33,36,8,0,17.0,17.0,1,48.621936950796076,Medium
7.0,2.0,1.0,1.0,12.0,0.21,4.67,8.54,10.33,0,0,0,7.0,3.0,1,14.253731611925394,Low
12.0,5.0,5.0,1.0,35.0,0.07,14.0,10.8,117.65,0,0,0,14.0,6.0,1,28.057191606236483,Low
26.0,1.0,1.0,1.0,74.0,0.06,16.8,20.2,316.67,7,6,0,14.0,10.0,1,21.727092933288574,Low
80.0,14.0,1.0,12.0,191.0,0.06,16.99,63.14,1011.96,3,10,2,15.0,34.0,1,36.34041122556867,Medium
96.0,5.0,1.0,3.0,341.0,0.03,28.7,73.77,3376.55,17,14,0,20.0,54.0,1,35.06337546351986,Medium
24.0,2.0,1.0,2.0,59.0,0.07,15.13,16.57,210.6,2,5,0,11.0,8.0,1,22.709120203766904,Low
78.0,13.0,4.0,6.0,347.0,0.02,54.63,36.73,6088.05,16,9,0,23.0,32.0,1,43.74219299044182,Medium
269.0,75.0,63.0,42.0,1119.0,0.01,99.0,80.58,43877.17,19,17,4,45.0,95.0,1,70.63039028894936,High
234.0,23.0,16.0,15.0,637.0,0.02,59.4,69.09,13543.71,81,17,0,27.0,60.0,1,56.56441327606003,Medium
31.0,4.0,1.0,3.0,103.0,0.07,13.56,40.7,415.64,0,6,0,15.0,26.0,1,27.12073525148379,Low
32.0,4.0,1.0,3.0,103.0,0.07,13.56,40.7,415.64,0,6,0,15.0,26.0,1,27.223982667481117,Low
42.0,15.0,10.0,7.0,194.0,0.02,50.25,19.8,2777.93,6,2,3,21.0,14.0,1,44.47254186706594,Medium
115.0,19.0,17.0,14.0,246.0,0.03,31.13,42.62,2293.76,20,14,3,18.0,24.0,1,50.24279028115699,Medium
34.0,6.0,6.0,3.0,105.0,0.03,30.0,17.66,882.77,1,7,0,20.0,13.0,1,36.187547923611504,Medium
53.0,10.0,8.0,4.0,182.0,0.02,42.1,24.02,2364.2,1,8,0,26.0,21.0,1,42.59214307123201,Medium
29.0,3.0,1.0,3.0,101.0,0.09,11.7,45.3,344.53,0,1,0,13.0,25.0,1,25.375672865589806,Low
10.0,2.0,1.0,2.0,29.0,0.18,5.5,23.51,39.52,0,0,0,11.0,11.0,1,17.359010584874163,Low
11.0,2.0,1.0,2.0,33.0,0.17,5.96,25.05,49.41,0,0,0,11.0,12.0,1,17.992863125066794,Low
38.0,5.0,3.0,5.0,146.0,0.06,16.0,50.69,720.86,0,2,0,16.0,31.0,1,32.5144551628963,Low
23.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,11.5103049362501,Low
7.0,2.0,1.0,2.0,23.0,0.23,4.44,21.15,23.21,0,0,0,8.0,9.0,1,15.437945122508978,Low
14.0,6.0,1.0,6.0,66.0,0.16,6.22,49.26,105.95,0,0,0,7.0,18.0,1,23.288657077884842,Low
36.0,6.0,5.0,5.0,157.0,0.06,15.94,53.79,758.82,1,2,0,13.0,31.0,1,34.866872375440686,Medium
16.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,9.036456859255898,Low
42.0,7.0,1.0,4.0,116.0,0.05,19.9,31.01,682.67,0,7,0,19.0,21.0,1,31.165376865084937,Low
15.0,2.0,1.0,2.0,35.0,0.19,5.33,28.36,44.82,0,2,0,8.0,12.0,1,18.643860346994405,Low
15.0,2.0,1.0,2.0,35.0,0.19,5.33,28.36,44.82,0,2,0,8.0,12.0,1,18.643860346994405,Low
15.0,3.0,1.0,3.0,45.0,0.15,6.46,30.59,70.95,0,3,0,8.0,13.0,1,20.611583530918264,Low
15.0,3.0,1.0,3.0,45.0,0.15,6.46,30.59,70.95,0,3,0,8.0,13.0,1,20.611583530918264,Low
50.0,11.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,25.342588852399256,Low
12.0,2.0,1.0,2.0,30.0,0.26,3.82,32.75,26.54,0,0,0,7.0,11.0,1,16.929092555147555,Low
294.0,117.0,117.0,113.0,1494.0,0.01,87.23,107.97,45638.93,17,13,2,22.0,57.0,1,74.56893401079455,High
40.0,7.0,1.0,5.0,107.0,0.05,19.5,28.15,594.57,1,5,2,15.0,20.0,1,30.87448055721228,Low
10.0,6.0,6.0,2.0,151.0,0.04,23.29,33.25,1002.32,0,1,0,18.0,17.0,1,31.858479951158703,Low
80.0,11.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.904782822618042,Low
79.0,3.0,1.0,3.0,168.0,0.07,14.46,67.75,787.44,0,6,0,15.0,42.0,1,30.043495299700123,Low
73.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,23.05604064386401,Low
78.0,9.0,4.0,8.0,239.0,0.03,34.89,41.1,2779.95,0,21,0,26.0,38.0,1,40.991356206551565,Medium
23.0,2.0,1.0,2.0,47.0,0.15,6.79,33.26,85.28,0,3,0,11.0,17.0,1,21.161003629538047,Low
49.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,23.42020191432465,Low
76.0,3.0,1.0,3.0,237.0,0.04,23.52,59.75,1836.93,0,9,0,19.0,42.0,1,31.442932187634653,Low
70.0,4.0,4.0,3.0,252.0,0.04,25.41,59.95,2149.98,4,10,0,23.0,43.0,1,36.618425845805326,Medium
162.0,27.0,5.0,15.0,492.0,0.03,33.11,98.51,5999.27,19,16,2,25.0,74.0,1,49.73422432489189,Medium
44.0,16.0,13.0,5.0,474.0,0.02,55.39,48.29,8232.57,6,3,0,22.0,28.0,1,47.261349628922325,Medium
30.0,5.0,1.0,4.0,106.0,0.07,14.7,40.27,483.47,0,1,0,18.0,30.0,1,28.29765825187074,Low
22.0,3.0,1.0,1.0,77.0,0.08,12.27,27.56,230.6,0,4,1,10.0,11.0,1,23.51457547975758,Low
17.0,3.0,1.0,1.0,30.0,0.09,10.83,11.08,72.22,0,3,0,10.0,6.0,1,21.534383463904835,Low
84.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,28.49789512652718,Low
91.0,11.0,3.0,10.0,233.0,0.04,23.82,56.28,1774.71,18,16,4,20.0,34.0,1,39.94947230435783,Medium
65.0,12.0,8.0,9.0,213.0,0.04,24.72,50.03,1698.92,0,15,0,20.0,36.0,1,43.06989577835083,Medium
39.0,8.0,3.0,5.0,106.0,0.03,29.42,17.68,850.21,7,4,1,17.0,13.0,1,35.190510168229125,Medium
32.0,4.0,1.0,3.0,33.0,0.14,7.22,19.41,56.25,9,3,0,10.0,9.0,1,23.898037609715626,Low
159.0,10.0,1.0,2.0,419.0,0.02,63.34,37.52,8364.13,39,21,1,22.0,29.0,1,41.20336107788578,Medium
33.0,2.0,1.0,2.0,45.0,0.2,4.9,40.95,54.63,9,3,0,7.0,15.0,1,21.23940315138174,Low
57.0,12.0,10.0,10.0,216.0,0.04,23.96,53.25,1698.46,1,6,1,21.0,39.0,1,43.557686209076294,Medium
27.0,2.0,1.0,2.0,39.0,0.22,4.5,38.07,42.83,4,3,0,7.0,14.0,1,20.26235793342432,Low
